epoch,train_loss,val_loss,train_acc,val_acc
0,0.37425912575130044,0.3196932107210159,0.8413093065693431,0.8739880970546178
1,0.31253645289553345,0.32458120329039436,0.8754018108340076,0.8686309541974749
2,0.30285792559602837,0.3092893732445581,0.8799287620252066,0.8792261924062457
3,0.29800897737706666,0.30485619136265346,0.883201151085596,0.8833630970546178
4,0.29298772844519927,0.2992301949432918,0.8844820326262147,0.8811309541974749
5,0.2879586561317862,0.3010543997798647,0.8865086328374209,0.882023811340332
6,0.2879901687702993,0.29621006548404694,0.886180516577115,0.8854761924062456
7,0.28701010078844363,0.30659021820340837,0.8876368613138687,0.8797916684831891
8,0.2833746645789947,0.3442241506917136,0.8877561763255265,0.8672916684831892
9,0.281433289916846,0.2943425110408238,0.8887475435751198,0.8845833352633885
