epoch,train_loss,val_loss,train_acc,val_acc
0,0.3644994652836862,0.3726431778499058,0.8452695115639346,0.8447321449007307
1,0.3059373785544486,0.33708514486040386,0.8768370999907055,0.8695238113403321
2,0.3006256567518206,0.3065756223031453,0.8797936552632464,0.8802380970546178
3,0.29243743667637345,0.3014308814491544,0.8844557131293916,0.8842559541974749
4,0.29141644802841826,0.29716601201466153,0.8841960275260201,0.8833630970546178
5,0.28627760068778574,0.30255985387734,0.887185920851074,0.8833630970546178
6,0.28571297953816227,0.3156656035355159,0.8870122122938615,0.8752083352633885
7,0.28105710115093385,0.319468298128673,0.8879702414909418,0.8672916684831892
8,0.27771539219321995,0.29597056806087496,0.8898547164715119,0.8860416684831892
9,0.2815961355928087,0.3163056365081242,0.8875491297158011,0.8711904781205314
