epoch,train_loss,val_loss,train_acc,val_acc
0,0.37483078839570066,0.32008403369358607,0.8384018810126033,0.8756547638348171
1,0.30949081373910836,0.31114894194262366,0.8765633773629683,0.87476190669196
2,0.30338061915261905,0.35117067864962986,0.8776494946793048,0.8592559541974749
3,0.2964765021618265,0.3000006650175367,0.8821308254325477,0.8811309541974749
4,0.29522301847264715,0.3093355140515736,0.8828046041683559,0.8793452399117606
5,0.29095744409047775,0.297984488095556,0.8841960275260201,0.8814583352633885
6,0.2894579176811406,0.3554145400013242,0.8859962802733818,0.8547916684831892
7,0.28981443099731946,0.29966071758951457,0.8844100926914354,0.88101190669196
8,0.2832663424041149,0.29695390718323844,0.8867735822705457,0.8860416684831892
9,0.28537185747910593,0.293413074527468,0.887959713657407,0.8855952399117606
